ACCT_ID,acct_nm,acct_status_txt,PRIM_CD,SECONDARY_CD,ACCT_TYPE_FLOW_TXT,NALO_INTL_TXT,acct_region_txt
0011I00000cJXoDQAW,Meyer Jabara Hotels,Active,99.299,,"Manager(F),Franchisee(F),Owner(F)",North American,SE
0011I00000cJXgfQAG,Garrison Investment Group,Active,99.591,,Franchisee(F),Owner(F),North American
0011I00000cJWYLQA4,"SCG America Group, Inc",Active,99.1N8,,"Franchisee(F),Owner(F)",North American,West
0011I00000cJXuHQAW,Simone Development Companies,Active,99.34A,,"Franchisee(F),Owner(F)",North American,NE
0011I00000cJXk3QAG,NCSC Hospitality Portfolio,Active,99.48S,,"Franchisee(F),Owner(F)",North American,NE
